"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"1500000US130039602002","Block Group 2, Census Tract 9602, Atkinson County, Georgia","276","null","104","null","14","null","13","null","41","46","null","null","7","null","11","null","8","null","15","null","77","null","88","null","14","null","28","null","0","14","null","null","13","null","21","null","16","null","17","null","37","35","null","null","6","null","7","null","21","null","18","null","11","null","20","null","11","null","17","null","0","null","14","null","0","14","null","null",
"1500000US130039602003","Block Group 3, Census Tract 9602, Atkinson County, Georgia","698","null","130","null","47","null","34","null","68","49","null","null","28","null","25","null","31","null","23","null","72","null","52","null","55","null","50","null","49","42","null","null","11","null","19","null","27","null","32","null","100","59","null","null","46","null","39","null","85","null","77","null","29","null","34","null","10","null","12","null","34","null","44","null","6","10","null","null",
"1500000US130039603001","Block Group 1, Census Tract 9603, Atkinson County, Georgia","491","null","93","null","46","null","39","null","49","49","null","null","37","null","37","null","17","null","21","null","30","null","28","null","83","null","48","null","0","14","null","null","0","null","14","null","15","null","20","null","10","12","null","null","32","null","24","null","67","null","48","null","52","null","43","null","53","null","50","null","0","null","14","null","0","14","null","null",
"1500000US130059701001","Block Group 1, Census Tract 9701, Bacon County, Georgia","577","null","148","null","22","null","31","null","56","60","null","null","9","null","14","null","0","null","14","null","19","null","22","null","0","null","14","null","78","99","null","null","83","null","69","null","7","null","12","null","67","73","null","null","50","null","58","null","11","null","20","null","77","null","47","null","59","null","56","null","26","null","31","null","13","14","null","null",
"1500000US130059701002","Block Group 2, Census Tract 9701, Bacon County, Georgia","144","null","73","null","9","null","17","null","13","21","null","null","33","null","51","null","0","null","14","null","15","null","23","null","12","null","18","null","0","14","null","null","0","null","14","null","0","null","14","null","0","14","null","null","27","null","28","null","11","null","19","null","0","null","14","null","14","null","22","null","0","null","14","null","10","17","null","null",
"1500000US130059701003","Block Group 3, Census Tract 9701, Bacon County, Georgia","392","null","116","null","6","null","26","null","18","20","null","null","22","null","26","null","59","null","70","null","26","null","28","null","24","null","39","null","25","32","null","null","15","null","19","null","56","null","35","null","11","15","null","null","56","null","49","null","12","null","18","null","4","null","9","null","8","null","14","null","50","null","60","null","0","14","null","null",
"1500000US130059702011","Block Group 1, Census Tract 9702.01, Bacon County, Georgia","619","null","131","null","45","null","40","null","29","28","null","null","74","null","74","null","12","null","18","null","12","null","19","null","29","null","30","null","36","40","null","null","35","null","42","null","11","null","17","null","80","52","null","null","44","null","35","null","95","null","72","null","31","null","35","null","38","null","45","null","20","null","25","null","28","44","null","null",
"1500000US130059702012","Block Group 2, Census Tract 9702.01, Bacon County, Georgia","424","null","112","null","92","null","79","null","21","35","null","null","0","null","14","null","0","null","14","null","32","null","35","null","0","null","14","null","0","14","null","null","9","null","14","null","15","null","23","null","35","46","null","null","45","null","34","null","129","null","66","null","27","null","28","null","9","null","15","null","0","null","14","null","10","15","null","null",
"1500000US130059702013","Block Group 3, Census Tract 9702.01, Bacon County, Georgia","341","null","103","null","43","null","43","null","10","15","null","null","0","null","14","null","48","null","39","null","84","null","73","null","15","null","20","null","34","28","null","null","14","null","21","null","0","null","14","null","17","29","null","null","7","null","13","null","37","null","36","null","18","null","31","null","0","null","14","null","14","null","23","null","0","14","null","null",
"1500000US130059702021","Block Group 1, Census Tract 9702.02, Bacon County, Georgia","333","null","85","null","6","null","14","null","42","40","null","null","41","null","44","null","34","null","44","null","33","null","28","null","57","null","42","null","24","26","null","null","0","null","14","null","0","null","14","null","0","14","null","null","23","null","20","null","21","null","22","null","32","null","29","null","20","null","24","null","0","null","14","null","0","14","null","null",
"1500000US130059702022","Block Group 2, Census Tract 9702.02, Bacon County, Georgia","213","null","86","null","60","null","57","null","17","20","null","null","0","null","14","null","41","null","39","null","0","null","14","null","32","null","51","null","0","14","null","null","11","null","20","null","15","null","16","null","4","6","null","null","16","null","26","null","17","null","27","null","0","null","14","null","0","null","14","null","0","null","14","null","0","14","null","null",
